,Sentence,Label,Dataset,trans_lang_choose,trans_lang,from_en,to_en
7287,"It all starts to smack of a Hallmark Hall of Fame , with a few four letter words thrown in that are generally not heard on television .",1,train,gu,ky,"Мунун баары жалпы сыналгыдан уккан эмес, бир-жылы ыргытылган бир нече төрт тамга сөздөр менен, атагы чыккан бир Hallmark залында Без баштайт.","All of this is not heard on television, with a few four-letter words thrown in, the start of a Hallmark Hall of fame Sky."
7288,"An incredibly thoughtful , deeply meditative picture that neatly and effectively captures the debilitating grief felt in the immediate aftermath of the terrorist attacks .",3,train,tr,ko,엄청나게 사려 깊은 명상 사진은 깔끔하게 효과적으로 테러 공격 직후에 느끼는 쇠약 슬픔을 캡처합니다.,Incredibly thoughtful meditation picture captures the debilitating sadness felt immediately after the terrorist attacks effectively clean.
7289,"Even if you 're an agnostic carnivore , you can enjoy much of Jonah simply , and gratefully , as laugh-out-loud lunacy with a pronounced Monty Pythonesque flavor .",3,train,da,sn,"Kunyange kana iwe 'kuzodzosera ane haazivikanwi carnivore, unogona kunakirwa zvikuru chaJona nyore, uye kuonga, sezvo kuseka-kunze-ruzha lunacy ane iziviswe Monty Pythonesque munuhwi.","Even if you ""to turn an unknown e rnivore, you can enjoy great Jonah easy, and thanks, as laugh-out-loud lunacy is known Monty Pytho nesque flavor."
7290,"( T ) he script is n't up to the level of the direction , nor are the uneven performances by the cast members , who seem bound and determined to duplicate Bela Lugosi 's now-cliched vampire accent .",1,train,ms,fr,"(T) il script est pas au niveau de la direction, ni les performances sont inégales par les membres de la distribution, qui semblent liés et déterminés à dupliquer Bela Lugosi est l'accent vampire maintenant cliché.","(T) he script is not at the direction or performance are uneven by members of the cast, who seem bound and determined to duplicate Bela Lugosi accent now is the vampire cliché."
7291,The Pianist is the film Roman Polanski may have been born to make .,3,train,jw,nl,The Pianist is de film Roman Polanski mag zijn geboren om te maken.,The Pianist is born may make to the Roman Polanski film.
7292,"Yes , I suppose it 's lovely that Cal works out his issues with his dad and comes to terms with his picture-perfect life -- but World Traveler gave me no reason to care , so I did n't .",0,train,gl,ml,"എന്നാൽ ലോകം ഞാൻ ചെയ്തു എന്നെ കെയർ ഒരു കാരണവും കൊടുത്തു - അതെ, ഞാൻ കാലിഫോർണിയൻ തന്റെ പിതാവിനോടൊപ്പം തന്റെ പ്രശ്നങ്ങൾ പ്രവർത്തിക്കുന്നു അവന്റെ ചിത്രം-തികഞ്ഞ ജീവിതവുമായി നിബന്ധനകൾ വരുന്ന മനോഹരവുമാണ് അത് കരുതുക ന്റെ.","But in the world and gave me a reason to care, I - yes, I am Californian working on his problems with his father, and his picture-perfect life is beautiful and it's suppose terms."
7293,`` On Guard ! '',2,train,vi,bg,`` На Guard! '',`` On Guard! ''
7294,An animation landmark as monumental as Disney 's 1937 breakthrough Snow White and the Seven Dwarfs .,4,train,ru,pt,Um marco animação como monumental em 1937 avanço Branca de Neve e Disney 's os Sete Anões.,A landmark animation as monumental breakthrough in 1937 Snow White and Disney's the Seven Dwarfs.
7295,"Dong shows how intolerance has the power to deform families , then tear them apart .",2,train,sk,hi,"दांग से पता चलता है कि कैसे असहिष्णुता ख़राब परिवारों की शक्ति है, तो उन्हें अलग आंसू।","Shows Dong how intolerance is the power of poor families, tear it apart them."
7296,"High Crimes carries almost no organic intrigue as a government / Marine/legal mystery , and that 's because the movie serves up all of that stuff , nearly subliminally , as the old-hat province of male intrigue .",1,train,yo,mt,"Delitti Għoli twettaq intrigi kważi l-ebda organiku bħala gvern / Baħar / misteru legali, u dan huwa għaliex l-film jservi up kollha li Jittieħed, kważi subliminally, bħala l-provinċja tax-hat ta b'qerq maskili.","High Crimes perform such tasks almost no organic as government / Marine / Legal mystery, and this is why the film serves up all that stuff, almost subliminally, as old hat intrigue male province."
7297,`` Punch-Drunk Love '' is a little like a chocolate milk moustache ...,2,train,be,be,`` Punch-Drunk Love «» крыху як шакалад малака вусы ...,"`` Punch-Drunk Love ""» a bit like chocolate milk mustache ..."
7298,Sweet Home Alabama certainly wo n't be remembered as one of ( Witherspoon 's ) better films .,1,train,hy,ky,"Sweet Home Alabama, албетте, бири катары (Уизерспун .Ал) жакшы тасмалар да эсте калбайт.","Sweet Home Alabama, of course, Witherspoon (s) as one of the best films will not be remembered."
7299,"The film does n't really care about the thousands of Americans who die hideously , it cares about how Ryan meets his future wife and makes his start at the CIA .",1,train,cy,mk,"Филмот не навистина се грижат за илјадници Американци кои умираат ужасно, тоа се грижи за тоа како Рајан исполнува својата идна сопруга и го прави неговиот старт на ЦИА.","The film does not really care about the thousands of Americans who die horribly, it takes care of it as Ryan meets his future wife and makes his start to the CIA."
7300,"( Gulpilil ) is a commanding screen presence , and his character 's abundant humanism makes him the film 's moral compass .",3,train,hy,mt,"(Gulpilil) hija preżenza iskrin kmandant, u l-karattru tiegħu ""i umaniżmu abbundanti jagħmel lilu l-film"" i kumpass morali.","(Gulpilil) is a commanding screen presence, and his character ""s abundant humanism makes him the film 's moral compass."
7301,Wilco is a phenomenal band with such an engrossing story that will capture the minds and hearts of many .,4,train,or,tr,Wilco çoğunluğu düşündüren ve kalpleri yakalayacaktır böyle bir sürükleyici hikayesi ile olağanüstü bir grup.,Wilco will capture the majority of suggesting and hearts with such a gripping story of an extraordinary group.
7302,"The animation merely serves up a predictable , maudlin story that swipes heavily from Bambi and The Lion King , yet lacks the emotional resonance of either of those movies .",2,train,lt,so,"animation The keliya u adeegta ilaa la saadaalin karo, sheeko MAUDLIN in karaka si xoogan ka Bambi iyo King Libaaxa The, weli ka maqan resonance ee dareenka of mid ka mid ah filimada kuwa.","The animation only serves up predictable story that MAUDLIN card heavily Bambi and The Lion King, without the resonance of the sense of one of the films."
7303,"Writer-director David Jacobson and his star , Jeremy Renner , have made a remarkable film that explores the monster 's psychology not in order to excuse him but rather to demonstrate that his pathology evolved from human impulses that grew hideously twisted .",4,train,lb,ku,"David Jacobson nivîskar-derhêner û stêra wî, Jeremy Renner, kiriye film balkêş ku xurtbûn û psîkolojiyê de cinawir 'de, ji bo wî jî didinê, lê belê îspat bike ku nexweşîya wî hêvînin, ji hewesên mirovan ku serhatîyên vegirtin mijê ne.","David Jacobson writer-director and his star, Jeremy Renner, an interesting film that explores the psychology and the monster ', for his excuse, but to prove that his illness evolved from the human impulses that hideously twisted fog."
7304,The best part about `` Gangs '' was Daniel Day-Lewis .,3,train,ku,is,The bestur hluti óður `` Gangs '' var Daniel Day-Lewis.,The best part about `` Gangs '' was Daniel Day-Lewis.
7305,One gets the impression the creators of Do n't Ask Do n't Tell laughed a hell of a lot at their own jokes .,2,train,uk,es,Uno tiene la impresión de los creadores del Do no pide no dice rió un infierno de mucho en sus propios chistes.,One gets the impression from the creators of the Do not Ask Do not Tell laughed a hell of a lot in their own jokes.
7306,In the end there is one word that best describes this film : honest .,3,train,ro,mn,Шударга: Эцэст нь хамгийн шилдэг энэ кино дүрсэлсэн нэг үг байдаг.,"Fair: Finally, there is the best single word of this film depicts."
7307,Aggravating and tedious .,0,train,te,id,Memperparah dan membosankan.,Aggravating and boring.
7308,"As warm as it is wise , deftly setting off uproarious humor with an underlying seriousness that sneaks up on the viewer , providing an experience that is richer than anticipated .",4,train,sn,la,"Quod calidum sapit, sicut dictum est, hinc arte recentis profecta off cum strepitu humor underlying gravitatis fuisse sneaks ascendit in videntium, quantum ad usus, qui est perfectior quam spe pugnaturos.","That heat is not wise, as has been said, on this side, they deftly mold, is gone off with the sound of the moisture of underlying seriousness that he sneaks up in the sight of others, as much as to its uses, it is more perfect than the hope of those who are going to fight."
7309,"Unintelligible , poorly acted , brain-slappingly bad , Harvard Man is ludicrous enough that it could become a cult classic .",2,train,it,fr,"Inintelligible, mal agi, cerveau slappingly mal, l'homme de Harvard est assez risible qu'il pourrait devenir un classique culte.","Unintelligible, wrongdoing, evil brain slappingly, Harvard man is quite laughable that he could become a cult classic."
7310,"Although sensitive to a fault , it 's often overwritten , with a surfeit of weighty revelations , flowery dialogue , and nostalgia for the past and roads not taken .",1,train,eo,si,"වරදකින් සංවේදී වුවත්, එය බොහෝ විට බැරෑරුම් හෙලිදරව්, අනූන සංවාදයක්, සහ අතීත සහ ගෙන නැති මාර්ග සඳහා අතීතකාමය ක මුදලින් සැලකිය සමග, එය උඩින් ලීවීම.","Fault-sensitive, but it is often a serious exposure, ranging conversation, and with a considerable amount of nostalgia for the past and not the road, it is overwritten."
7311,"Huppert 's show to steal and she makes a meal of it , channeling Kathy Baker 's creepy turn as the repressed mother on Boston Public just as much as 8 Women 's Augustine .",3,train,nl,sv,"Huppert s show att stjäla och hon gör en måltid av det, kanalisera Kathy Baker 's läskigt tur som tryckta mor på Boston Public lika mycket som 8 kvinnor 's Augustine.","Huppert's show to steal, and she makes a meal of it, channeling Kathy Baker's scary turn as printed mother of the Boston Public as much as 8 women's Augustine."
7312,"Peralta 's mythmaking could have used some informed , adult hindsight .",2,train,zh-tw,ar,صناعة الأسطورة بيرالتا الصورة يمكن أن تستخدم بعض مطلعة، بعد فوات الأوان الكبار.,"Legend Peralta's industry could use some well-informed, too late adult."
7313,"Its flame-like , roiling black-and-white inspires trembling and gratitude .",3,train,ro,ka,"მისი ალი-like, roiling შავ-თეთრი შთააგონებს კანკალი და მადლიერება.","Its ali- like, roiling black-and-white and trembling inspires gratitude."
7314,"None of this so-called satire has any sting to it , as if Woody is afraid of biting the hand that has finally , to some extent , warmed up to him .",1,train,ha,sm,"E leai se tasi o lenei mea ua taʻua o satire ei ai so o se tui atu i ai, e pei o Woody e fefe o le taʻai o le lima o loo i ai mulimuli, i nisi tulaga, faamafanafanaina i luga ia te ia.","None of this is called satire has any sting to it, such as Woody fear of biting the hand that follow, in some cases, warmed up to him."
7315,Earnest but heavy-handed .,2,train,iw,ru,Убедительная но властный.,Earnest but overbearing.
7316,"A fast-paced , glitzy but extremely silly piece .",2,train,ky,uz,"A tez gullab-, glitzy lekin juda ahmoq parcha.","A prosperous, glitzy but very stupid piece."
7317,"Ultimate X is a ride , basically the kind of greatest-hits reel that might come with a subscription to ESPN the Magazine .",2,train,ar,bg,"Ultimate X е езда, основно от вида на най-големите хитове и макара, че може да дойде с абонамент за ESPN списанието.",Ultimate X is riding mainly on the kind of greatest hits and reel that can come with a subscription to ESPN The Magazine.
7318,A film that clearly means to preach exclusively to the converted .,2,train,pl,uz,"aniq Konvertatsiya qilish faqat voizlik qilish uchun, degan ma'noni anglatadi A film.","Recycling is only to preach the clear, which means a film."
7319,The film is really closer to porn than a serious critique of what 's wrong with this increasingly pervasive aspect of gay culture .,1,train,co,ro,Filmul este într-adevăr mai aproape de porno decât o critică serioasă a greșit ceea ce e cu acest aspect din ce în ce tot mai mare a culturii gay.,The film is really closer to porn than a serious critique of what's wrong with this ever growing gay culture.
7320,The Dangerous Lives of Altar Boys ' take on adolescence feels painfully true .,3,train,zh-cn,mi,Ko te Moui mōrearea o te tango aata Boys 'i runga i te taiohitanga mana'o mauiui pono.,The Lives of risk taking altar Boys' on the prime tire true feelings.
7321,"It 's a fine , focused piece of work that reopens an interesting controversy and never succumbs to sensationalism .",4,train,tr,hmn,"Nws 's ib tug zoo, teem daim ua hauj lwm uas reopens ib qho kev nthuav controversy thiab yeej tsis succumbs rau sensationalism.","It's a good, focused work which reopens an interesting controversy and never succumbs to sensationalism."
7322,An exhilarating experience .,4,train,mk,gl,Unha experiencia emocionante.,An exciting experience.
7323,"A surprisingly flat retread , hobbled by half-baked setups and sluggish pacing .",0,train,pa,zh-cn,令人惊讶扁平胎面翻新，通过半生不熟设置和呆滞起搏步履蹒跚。,"Surprisingly flat retreading, and sluggish pace set by the half-baked faltering."
7324,An affectionately goofy satire that 's unafraid to throw elbows when necessary ...,3,train,id,sl,"Strasno neumen satira, ki je brez strahu, da bi vrgel kolena, ko je to potrebno ...","Affectionately stupid satire, which has no fear to throw the knee, when it is needed ..."
7325,"Before it takes a sudden turn and devolves into a bizarre sort of romantic comedy , Steven Shainberg 's adaptation of Mary Gaitskill 's harrowing short story ... is a brilliantly played , deeply unsettling experience .",3,train,es,am,"ይህ የፍቅር አስቂኝ, s አሰቃቂ አጭር ታሪክ ስቲቨን Shainberg 'ማርያም Gaitskill መካከል ዎች የማስተካከያ' አንድ ያልተለመደ ዓይነት ወደ በድንገት ተራ እና devolves ይወስዳል በፊት ... አንድ አስደናቂ መጫወት, በጥልቅ በሚረብሽ ተሞክሮ ነው.","This romantic comedy, s terrible short story takes Steven Shainberg 's Mary corrective ""a kind of unusual to suddenly turn and devolves between Gaitskill ago ... an amazing play, is a deeply unsettling experience."
7326,This bracingly truthful antidote to Hollywood teenage movies that slather Clearasil over the blemishes of youth captures the combustible mixture of a chafing inner loneliness and desperate grandiosity that tend to characterize puberty .,3,train,ro,ceb,Kini bracingly matinud-anong tambal sa Hollywood tin-edyer nga mga pelikula nga slather Clearasil ibabaw sa mga lama sa mga nadakpan sa kabatan-onan sa masunog nga sagol sa usa ka chafing sulod sa kamingaw ug desperado grandiosity nga tambong sa hiyas edyer.,This bracingly honest antidote to Hollywood teen movies slather Clearasil on prints of the arrested youth flammable mixture to a chafing in loneliness and desperate grandiosity tend to attribute a teenager.
7327,An intelligently made ( and beautifully edited ) picture that at the very least has a spark of life to it -- more than you can say for plenty of movies that flow through the Hollywood pipeline without a hitch .,4,train,ny,sw,kwa busara alifanya (na uzuri mwisho) picha kwamba katika sana angalau ina cheche za maisha yake - zaidi ya unaweza kusema kwa mengi ya filamu ambazo kati yake kwa njia Hollywood bomba bila ya vikwazo.,wisely made (and beautifully edited) images that at the very least has a spark of life - more than you can say for a lot of films that flow through the Hollywood pipeline without obstacles.
7328,"Kapur fails to give his audience a single character worth rooting for ( or worth rooting against , for that matter ) .",1,train,da,pl,"Kapur nie daje swojej publiczności pojedynczy znak wartości kibicowania (lub wartości ukorzenienie przeciw, dla tej sprawy).","Kapur does not give his audience rooting for a single character values ​​(or value rooting against, for that matter)."
7329,"Standing by Yourself is haunting ... ( It 's ) what punk rock music used to be , and what the video medium could use more of : spirit , perception , conviction .",3,train,sv,lv,"Stāv pats ir spocīga ... (tas ir), ko pankroka mūzikas, ko izmanto, lai būtu, un to, ko video medijs varētu izmantot vairāk: gars, uztveres, notiesāšanu.","Standing in itself is haunting ... (it is), the punk rock music, which used to be, and what the video medium could be used more: spirit, perception, conviction."
7330,"It 's as sorry a mess as its director 's diabolical debut , Mad Cows .",0,train,sv,uz,"Bu s yovuz debyut, Mad sigir uning direktori sifatida Kechirasiz bir chalkashliklarni bo'lib, «b.","It s bad debut as a director of the Mad Cow sorry, 's a mess."
7331,`` Austin Powers in Goldmember '' has the right stuff for silly summer entertainment and has enough laughs to sustain interest to the end .,4,train,yi,my,`Goldmember အတွက်` အော်စတင်အင်အားကြီးနိုင်ငံများ '' ရီစရာနွေရာသီဖျော်ဖြေရေးအဘို့အညာဘက်ပစ္စည်းပစ္စယရှိပြီးအဆုံးအကျိုးစီးပွားရေရှည်တည်တံ့ဖို့လုံလောက်တဲ့ပြုံးရယ်ရှိပါတယ်။,"`Goldmember, Austin Powers '' silly summer entertainment has the right stuff for a laugh, at least enough to sustain interest."
7332,"Like Shrek , Spirit 's visual imagination reminds you of why animation is such a perfect medium for children , because of the way it allows the mind to enter and accept another world .",4,train,yi,gl,"Como Shrek, o Espírito de imaxinación visual recorda por que a animación é un medio tan perfecto para os nenos, por mor da forma como el permite que a mente para entrar e aceptar outro mundo.","As Shrek, Spirit of visual imagination remember why the animation is a medium so perfect for children, because of the way it allows the mind to accept and enter another world."
7333,"Though intrepid in exploring an attraction that crosses sexual identity , Ozpetek falls short in showing us Antonia 's true emotions ... But at the very least , His Secret Life will leave you thinking .",3,train,sn,no,"Selv om modige i å utforske en attraksjon som krysser seksuell identitet, Ozpetek kommer til kort i å vise oss Antonia 's sanne følelser ... Men i det minste, vil hans hemmelige liv forlate deg tenke.","Although brave in exploring an attraction that crosses sexual identity, Ozpetek falls short of showing us Antonia's true feelings ... But at least, his secret life leave you thinking."
7334,"Cruel and inhuman cinematic punishment ... simultaneously degrades its characters , its stars and its audience .",0,train,ja,mg,"Lozabe sy feno habibiana cinematic sazy ... niara-mampikororosy fahana ny tarehin-tsoratra, ny kintana sy ny mpihaino.","Cruel and inhuman punishment cinematic degrades the characters, stars and audience."
7335,an essentially awkward version of the lightweight female empowerment picture we 've been watching for decades,1,train,gl,ny,ndi Baibulo kwenikweni womangika kwa opepuka wamkazi mchaka chithunzi ife 've wakhala akuonera kwa zaka zambiri,Bible really is bound to light a daughter in the picture we 'beg been seen for many years
7336,"... pitiful , slapdash disaster .",0,train,cs,mr,"... दयनीय, ​​घाई घाईने आपत्ती.","... miserable, slapdash disaster."
7337,"Tsai Ming-liang 's witty , wistful new film , What Time Is It There ?",3,train,af,da,"Tsai Ming-Liang 's vittig, længselsfuld nye film, hvad er klokken der?","Tsai Ming-Liang's witty, wistful new film what time is it there?"
7338,Woefully pretentious .,1,train,ka,xh,Basilela yimikhuba.,They failed pretentious.
7339,"Thriller directorial debut for Traffic scribe Gaghan has all the right parts , but the pieces do n't quite fit together .",2,train,vi,st,"E makatsang qalo directorial bakeng Traffic mongoli Gaghan na tsohle likarolo e nepahetseng, empa likarolo tse u se ke ua haholo lumellane hammoho.","A startling directorial debut for writer Gaghan Traffic has all the right parts, but the parts do not fit together very much."
7340,Provides a very moving and revelatory footnote to the Holocaust .,4,train,bg,da,Giver en meget bevægende og afslørende fodnote til Holocaust.,Provides a very moving and revealing footnote to the Holocaust.
7341,"The structure is simple , but in its own way , Rabbit-Proof Fence is a quest story as grand as The Lord of the Rings .",3,train,ne,yi,"די סטרוקטור איז פּשוט, אָבער אין זייַן אייגן וועג, קיניגל-פּרוף פּלויט איז אַ זוכן געשיכטע ווי גרויס ווי די האר פון די רינגס.","The structure is simple, but in its own way, Rabbit-Proof Fence is a search history as great as the Lord of the Rings."
7342,"The film 's darker moments become smoothed over by an overwhelming need to tender inspirational tidings , especially in the last few cloying moments .",2,train,bn,el,"Η ταινία «s στιγμές πιο σκούρα γίνει εξομαλύνεται πάνω από μια συντριπτική ανάγκη για την υποβολή προσφορών εμπνευσμένη είδηση, ειδικά τις τελευταίες στιγμές cloying.","The film «s darker moments become smoothed over a vast need for bidding inspiring news, especially in the last moments of cloying."
7343,"Snoots will no doubt rally to its cause , trotting out threadbare standbys like ` masterpiece ' and ` triumph ' and all that malarkey , but rarely does an established filmmaker so ardently waste viewers ' time with a gobbler like this .",1,train,sd,sn,"Snoots Hapana mubvunzo dziite wayo chikonzero, trotting kunze nechapamusoro standbys akaita `Paaidzidzisa 'uye` mukukunda' uye zvose kuti malarkey, asi kashoma sei imwe filmmaker hwakagadzwa saka achinyatsokumbira kutambisa vanoiona 'nguva aine gobbler sezvizvi.","Snoots no doubt hold its ground, trotting out the top standbys like `When teaching 'uye` victory' and all that Malarkey, but rarely does a filmmaker is set so that a specific request to waste viewers' time with a gobbler like."
7344,Prepare to marvel again .,3,train,co,hu,Készítsünk hogy megcsodálják újra.,Prepare to marvel again.
7345,"The new Insomnia is a surprisingly faithful remake of its chilly predecessor , and when it does elect to head off in its own direction , it employs changes that fit it well rather than ones that were imposed for the sake of commercial sensibilities .",3,train,eu,fa,بی خوابی جدید بازسازی شگفت آور وفادار از سلف سرد آن است، و زمانی که آن را انتخاب به سر کردن در مسیر خود، آن را در استخدام تغییراتی که آن را به خوبی مناسب به جای آنهایی که به خاطر حساسیت های تجاری اعمال شده است.,"Insomnia new reconstruction amazingly loyal predecessor cold it is, and when it chooses to head off on their way, it employs some changes that make it well-suited to replace those due to the sensitivity of trade have been applied."
7346,"A dark-as-pitch comedy that frequently veers into corny sentimentality , probably would not improve much after a therapeutic zap of shock treatment .",1,train,ps,sq,"Një komedi e errët-si-katran që shpesh priret në sentimentalizëm banal, ndoshta nuk do të përmirësohet më pas një ZAP terapeutik të trajtimit të shokut.","A dark comedy-as-pitch that often tends to banal sentimentality, probably will not improve after a therapeutic OAG shock treatment."
7347,"The best comedy concert movie I 've seen since Cho 's previous concert comedy film , I 'm the One That I Want , in 2000 .",4,train,eu,gl,"O mellor espectáculo de comedia película que vin desde Cho 'filme-concerto comedia anterior s, eu son o que quero, en 2000.","The best comedy show I saw film from Cho 'concert film comedy previous s, I am what I, in 2000."
7348,Sorvino is delightful in the central role .,3,train,es,ky,Sorvino борбордук ролуна жагымдуу болуп саналат.,Sorvino is a central role.
7349,You know that ten bucks you 'd spend on a ticket ?,2,train,en,mn,"Та энэ арван ухна тасалбар дээр та ""г зарцуулж мэдэх үү?","Did you know that you spend on this ten bucks a ticket? """
7350,Mendes still does n't quite know how to fill a frame .,1,train,haw,ha,Mendes har yanzu ba quite san yadda za a cika a firam.,Mendes still do not quite know how to fill in the frame.
7351,Steven Soderbergh does n't remake Andrei Tarkovsky 's Solaris so much as distill it .,1,train,zh-cn,en,Steven Soderbergh does n't remake Andrei Tarkovsky 's Solaris so much as distill it .,Steven Soderbergh does n't remake Andrei Tarkovsky 's Solaris so much as distill it .
7352,"While easier to sit through than most of Jaglom 's self-conscious and gratingly irritating films , it 's still tainted by cliches , painful improbability and murky points .",1,train,kn,yo,"Lakoko ti o ti rọrun lati joko nipasẹ ju julọ ti Jaglom 's ara-mimọ ki o si gratingly irritating films, o' s tun tainted nipa cliches, irora improbability ati murky ojuami.","While it is easier to sit through than most Jaglom 's self-conscious and gratingly irritating films, it' s also tainted by cliches, pain improbability and murky points."
7353,( Crystal and De Niro ) manage to squeeze out some good laughs but not enough to make this silly con job sing .,2,train,ro,es,"(Crystal y De Niro) logran exprimir algunas risas buenas, pero no lo suficiente como para hacer este trabajo con tonto cantar.","(Crystal and De Niro) manage to squeeze some good laughs, but not enough to do this job with silly singing."
7354,Dramatically lackluster .,0,train,sv,or,ନାଟକୀୟ lackluster।,Dramatic lackluster.
7355,The movie is a little tired ; maybe the original inspiration has run its course .,2,train,hr,lo,ຮູບເງົາແມ່ນເມື່ອຍເລັກນ້ອຍ; ບາງທີການດົນໃຈຕົ້ນສະບັບໄດ້ດໍາເນີນການຫຼັກສູດຂອງຕົນ.,The film is a little tired; Perhaps inspired original run its course.
7356,A modest masterpiece .,3,train,yo,da,En beskeden mesterværk.,A modest masterpiece.
7357,"finely crafted , finely written , exquisitely performed",4,train,pt,af,"fyn gemaak, fyn geskryf, pragtig presteer","pureed, finely written, beautifully performed"
7358,"The cast ... keeps this pretty watchable , and casting Mick Jagger as director of the escort service was inspired .",3,train,uz,af,"Die cast ... hou hierdie mooi watchable, en giet Mick Jagger as direkteur van die escort diens is geïnspireer.","The cast ... keep this pretty watchable, and pour Mick Jagger as director of the escort service was inspired."
7359,"Interminably bleak , to say nothing of boring .",0,train,zu,el,"Χωρίς τέλος ζοφερή, για να μην πούμε τίποτα βαρετό.","Endless bleak, to say nothing boring."
7360,But what is missing from it all is a moral .,1,train,haw,sw,Lakini nini ni kukosa na hayo yote ni maadili.,But what is missing and they are all the values.
7361,"A pretty decent kid-pleasing , tolerable-to-adults lark of a movie .",3,train,bn,be,"Даволі прыстойны дзіця-прыемны, памяркоўныя да даросламу Ларк з фільма.","A pretty decent kid-pleasing, tolerant adult Lark from the film."
7362,"A worthwhile documentary , whether you 're into rap or not , even if it may still leave you wanting more answers as the credits roll .",3,train,it,ps,يو ارزښتمند مستند فلم، چې آيا تاسې 'په رپ او که نه بیا، که څه هم دا اوس هم تاسو د وتلو زيات ځوابونه د کریډیټ رول په توګه غواړي.,"A worthwhile documentary, whether you 'glance and if not then, although it is still you want as many answers leave credits role."
7363,The art demands live viewing .,3,train,pl,km,សិល្បៈនេះទាមទារការមើលការផ្សាយបន្តផ្ទាល់។,This art requires viewing the live broadcast.
7364,works on the whodunit level as its larger themes get lost in the murk of its own making,1,train,yo,mk,работи на whodunit ниво како и неговите поголеми теми се изгуби во затемнетост од сопствено производство,working on whodunit level as its major themes are lost in the murk of own production
7365,"Ver Wiel 's desperate attempt at wit is lost , leaving the character of Critical Jim two-dimensional and pointless .",1,train,en,uz,"wit da Ver Wiel ""s umidsiz urinish tanqidiy Jim ikki o'lchovli va ma'nosiz xarakterini qoldirib, yo'qolgan.","Ver Wiel ""s desperate attempt at wit critical Jim, leaving a two-dimensional character and senseless loss."
7366,"None of this has the suavity or classical familiarity of Bond , but much of it is good for a laugh .",2,train,ku,it,"Niente di tutto questo ha la soavità e la familiarità classica di Bond, ma gran parte di essa è un bene per una risata.","None of this has the sweetness and familiarity of classic Bond, but much of it is good for a laugh."
7367,That 's because relatively nothing happens .,1,train,ru,kn,ತುಲನಾತ್ಮಕವಾಗಿ ಏನೂ ಜರುಗುವುದಿಲ್ಲ ಏಕೆಂದರೆ ಆ ಇಲ್ಲಿದೆ.,That's because it's relatively nothing happens.
7368,Or else a doggie winks .,2,train,ms,fy,Of oars in Doggie Winks.,Or else a Doggie Winks.
7369,There are moments of real pleasure to be found in Sara Sugarman 's whimsical comedy Very Annie-Mary but not enough to sustain the film .,2,train,mt,tl,May mga sandali ng tunay na kasiyahan upang makita sa Sara Sugarman ni kakatuwa comedy Very Annie-Mary ngunit hindi sapat upang sang-ayunan ang film.,"There are moments of genuine pleasure to see Sara Sugarman's whimsical comedy Very Annie Mary, but not enough to sustain the film."
7370,A family-friendly fantasy that ends up doing very little with its imaginative premise .,2,train,gl,hr,Obiteljski fantazija da završi radi vrlo malo sa svojim maštovitim prostor.,Family fantasy that ends up doing very little with their imaginative space.
7371,"I admire the closing scenes of the film , which seem to ask whether our civilization offers a cure for Vincent 's complaint .",3,train,gd,uz,"Men bizning tsivilizatsiya takliflar yo'qmi Vinsent ""ning shikoyat uchun davo so'rash ko'rinadi film yopilish sahnalari, qoyil.","""I do not want our civilization proposals Vincent's complaint seems to be asking for treatment in the closing scenes of the film, and were amazed."
7372,... salaciously simplistic .,2,train,is,he,... בפריצות פשטנית.,... Hacking simplistic.
7373,"After a while , the only way for a reasonably intelligent person to get through The Country Bears is to ponder how a whole segment of pop-music history has been allowed to get wet , fuzzy and sticky .",1,train,ky,hu,"Egy idő után, az egyetlen módja, ésszerűen értelmes ember, hogy az országon keresztül Bears, hogy elgondolkodjunk, milyen egy egész szegmense popzene történetében már lehetővé tette, hogy a nedves, fuzzy és ragadós.","After a while, the only way to be reasonably intelligent person that the Bears across the country to think about how an entire segment of the history of pop music has made it possible for the wet, sticky and fuzzy."
7374,"Director George Hickenlooper has had some success with documentaries , but here his sense of story and his juvenile camera movements smack of a film school undergrad , and his maudlin ending might not have gotten him into film school in the first place .",1,train,lv,ml,"ഡയറക്ടർ ജോർജ് ഹിച്കെംലൊഒപെര് ഡോക്യുമെന്ററി ചില വിജയം ഉണ്ടായിരുന്നു, എന്നാൽ ഇവിടെ കഥ തൻറെ നീതിബോധം അവന്റെ ജുവനൈൽ ക്യാമറ പ്രസ്ഥാനങ്ങളുടെ ഒരു സിനിമ സ്കൂൾ ഉംദെര്ഗ്രദ് എന്ന കണ്ടസ്വാമി അവന്റെ മൌദ്ലിന് അവസാനിച്ച ആദ്യ സ്ഥലത്തു ചിത്രം സ്കൂൾ അവനെ സമ്പാദിച്ച കഴിയുമായിരുന്നില്ല.","Documentary Director George hickenlea'oper had some success, but here the story of his sense of kantasvami of a film school, undergrad and his juvenile camera movements ended in the first place, the image of his medlin the school could not have gotten him."
7375,There 's no energy .,0,train,vi,sk,Neexistuje žiadna energia.,There is no power.
7376,A bit too derivative to stand on its own as the psychological thriller it purports to be .,2,train,sr,he,קצת נגזר מכדי לעמוד בפני עצמו בתור המותחן הפסיכולוגי שהיא מתיימרת להיות.,Some doomed to stand on its own as a psychological thriller it purports to be.
